A-02-04-3;8;E-02-08-5;
A-02-04-3;6;E-02-08-5;
A-02-04-4;1;I-03-09-6;
A-02-04-5;2;I-12-06-7;
A-02-04-6;3;M-05-06-3;
A-02-04-6;9;M-05-06-3;
A-02-04-7;3;G-04-03-3;
A-02-04-8;2;N-14-01-2;
A-02-04-9;1;K-09-05-2;
A-02-04-9;24;K-09-05-2;
A-02-05-1;2;B-05-09-9;
A-02-05-2;3;J-05-05-8;
A-02-05-3;9;J-02-07-6;
A-02-05-4;3;E-06-07-2;
A-02-05-4;4;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000001597
A-02-05-5;70;K-05-05-6;
A-02-05-5;3;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000001126
A-02-05-6;3;B-11-06-5;
A-02-05-6;12;B-11-06-5;
A-02-05-7;22;G-11-05-3;
A-02-05-8;7;H-08-09-6;
A-02-05-9;70;G-01-10-1;
A-02-05-9;5;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000000435
A-02-06-1;3;J-04-04-3;
A-02-06-2;8;M-13-05-4;
A-02-06-3;1;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000000131
A-02-06-3;70;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000000133
A-02-06-3;5;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000000134
A-02-06-4;2;G-11-09-4;
A-02-06-5;1;K-01-05-8;
A-02-06-5;10;K-01-05-8;
A-02-06-6;3;J-05-07-9;
A-02-06-7;90;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000000626
A-02-06-8;2;K-11-07-8;
A-02-06-9;2;B-02-02-7;
A-02-07-1;2;I-04-09-1;
A-02-07-2;1;I-03-07-7;
A-02-07-3;2;S-04-09-9;
A-02-07-4;24;G-04-05-7;
A-02-07-5;2;I-09-01-9;
A-02-07-6;3;L-05-10-1;
A-02-07-7;5;L-01-04-1;
A-02-07-8;1;B-13-09-7;
A-02-07-9;22;K-01-08-1;
A-02-08-2;5;I-06-05-1;
A-02-08-2;9;I-06-05-1;
A-02-08-3;90;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000000866
A-02-08-4;43;G-13-07-7;
A-02-08-5;3;K-05-05-7;
A-02-08-5;5;K-05-05-7;
A-02-08-5;4;K-05-05-7;
A-02-08-5;25;K-05-05-7;
A-02-08-6;20;M-04-07-3;
A-02-08-7;1;J-14-07-2;
A-02-08-7;7;J-14-07-2;
A-02-08-8;1;S-03-03-9;
A-02-08-8;12;S-03-03-9;
A-02-08-9;10;L-07-01-5;
A-02-09-1;3;I-09-07-9;
A-02-09-2;10;L-09-04-7;
A-02-09-3;4;N-12-07-1;
A-02-09-4;1;J-12-08-4;
A-02-09-5;4;L-04-08-3;
A-02-09-6;9;B-07-07-8;
A-02-09-7;2;K-11-07-7;
A-02-09-8;12;N-08-08-2;
A-02-09-9;2;L-12-01-9;
A-02-10-2;2;L-01-10-3;
A-02-10-5;4;K-09-09-8;
A-02-10-6;2;E-05-01-8;
A-02-10-9;3;I-13-01-7;
A-02-11-2;5;K-06-08-1;
A-02-11-4;2;L-05-02-3;
A-02-11-5;4;B-16-06-2;
A-02-11-6;7;E-03-09-4;
A-03-01-1;20;G-11-08-6;
A-03-01-2;5;H-11-06-3;
A-03-01-2;3;H-11-06-3;
A-03-01-3;16;K-06-09-3;
A-03-01-4;6;H-12-02-8;
A-03-01-5;1;I-12-07-4;
A-03-01-6;15;L-06-02-8;
A-03-01-7;1;B-04-08-5;
A-03-01-8;10;L-07-09-5;
A-03-01-9;1;J-11-01-7;
A-03-02-1;9;I-02-06-4;
A-03-02-2;2;B-13-10-9;
A-03-02-3;66;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000000132
A-03-02-4;2;B-03-08-4;
A-03-02-5;3;H-14-08-7;
A-03-02-6;10;B-02-08-9;
A-03-02-7;2;I-05-02-4;
A-03-02-8;2;H-02-06-8;
A-03-02-9;1;J-10-06-5;
A-03-03-1;2;K-12-05-8;
A-03-03-2;3;L-03-05-6;
A-03-03-3;5;I-09-02-4;
A-03-03-4;6;H-04-02-4;
A-03-03-4;20;H-04-02-4;
A-03-03-5;70;I-01-04-8;
A-03-03-5;5;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000000852
A-03-03-6;7;H-09-04-2;
A-03-03-7;4;J-11-03-7;
A-03-03-8;28;M-04-07-3;
A-03-03-9;12;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000001126
A-03-04-1;2;S-03-08-6;
A-03-04-2;2;S-01-03-3;
A-03-04-2;12;S-01-03-3;
A-03-04-2;1;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000002012
A-03-04-4;22;M-04-02-4;
A-03-04-4;1;M-04-02-4;
A-03-04-5;9;H-09-07-4;
A-03-04-6;17;G-07-02-9;
A-03-04-7;2;I-04-08-5;
A-03-04-8;2;J-11-09-4;
A-03-04-9;4;K-11-02-9;
A-03-05-1;15;I-08-03-3;
A-03-05-1;8;I-08-03-3;
A-03-05-2;3;E-06-08-2;
A-03-05-3;2;B-07-05-6;
A-03-05-4;8;J-02-03-7;
A-03-05-5;14;B-10-02-1;
A-03-05-7;7;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000002012
A-03-05-8;1;G-07-10-9;
A-03-05-9;2;K-05-03-6;
A-03-06-2;34;K-07-04-3;
A-03-06-3;90;M-10-01-2;
A-03-06-4;3;J-14-07-6;
A-03-06-5;8;J-01-08-4;
A-03-06-5;8;J-01-08-4;
A-03-06-6;1;B-06-07-1;
A-03-06-7;70;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000000473
A-03-06-8;13;L-07-07-7;
A-03-06-9;1;L-02-10-5;
A-03-07-1;1;K-09-10-9;
A-03-07-3;3;I-09-06-2;
A-03-07-4;7;I-11-05-3;
A-03-07-5;3;S-03-02-9;
A-03-07-6;2;H-08-08-9;
A-03-07-7;3;J-13-10-3;
A-03-07-8;5;G-10-09-4;
A-03-07-9;36;M-07-09-1;
A-03-08-1;10;B-07-09-7;
A-03-08-2;1;H-14-03-8;
A-03-08-3;9;L-08-02-7;
A-03-08-4;2;I-04-02-8;
A-03-08-5;9;K-01-08-6;
A-03-08-6;3;H-10-08-6;
A-03-08-8;3;J-09-10-7;
A-03-08-9;12;N-02-08-1;
A-03-09-1;2;M-14-03-2;
A-03-09-2;13;J-03-02-8;
A-03-09-3;2;J-09-02-1;
A-03-09-4;2;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000001488
A-03-09-5;3;H-09-03-9;
A-03-09-6;18;G-04-09-6;
A-03-09-7;4;L-14-03-6;
A-03-09-8;7;I-09-04-8;
A-03-09-9;6;H-01-03-9;
A-03-09-9;1;H-01-03-9;
A-03-10-1;68;H-12-04-3;
A-03-10-3;41;N-14-02-4;
A-03-10-4;4;I-10-07-2;
A-03-10-6;10;E-04-02-5;
A-03-10-9;3;L-05-09-9;
A-03-11-1;14;L-02-08-7;
A-03-11-5;10;E-04-10-3;
A-03-11-7;6;E-04-10-1;
A-03-11-8;7;G-10-06-5;
A-03-11-8;23;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000000591
A-03-11-9;1;E-05-01-1;
A-04-01-1;1;G-10-04-4;
A-04-01-2;11;N-03-01-2;
A-04-01-3;2;G-09-10-7;
A-04-01-3;2;G-09-10-7;
A-04-01-4;10;L-04-08-6;
A-04-01-5;3;B-10-01-2;
A-04-01-6;2;J-13-01-5;
A-04-01-6;4;J-13-01-5;
A-04-01-7;3;K-14-05-5;
A-04-01-8;6;N-11-03-3;
A-04-01-9;2;J-02-10-8;
A-04-02-1;4;I-04-03-2;
A-04-02-2;6;L-05-09-8;
A-04-02-3;28;B-05-10-9;
A-04-02-4;1;J-11-04-1;
A-04-02-5;2;B-13-10-1;
A-04-02-6;6;I-01-09-2;
A-04-02-7;4;H-11-04-8;
A-04-02-7;1;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000000791
A-04-02-8;2;I-02-06-6;
A-04-02-9;9;L-04-08-1;
